iter	Logloss
0	0.6788982718
1	0.6667825317
2	0.6557360404
3	0.6450410243
4	0.6339689418
5	0.62453622
6	0.616214556
7	0.6072605242
8	0.5981582206
9	0.591962629
10	0.5851099941
11	0.5779476057
12	0.5696514457
13	0.5636322021
14	0.5577892194
15	0.5525751604
16	0.5470261492
17	0.5421486991
18	0.5370321219
19	0.531935076
20	0.5279302107
21	0.522235369
22	0.5172235979
23	0.5129034424
24	0.5082856968
25	0.5039088658
26	0.4997304862
27	0.4955004447
28	0.4912894985
29	0.4877629743
30	0.483898795
31	0.4803623308
32	0.4764855085
33	0.4724202183
34	0.4695509556
35	0.4666705322
36	0.4630310059
37	0.4605692836
38	0.4577062116
39	0.454854126
40	0.4518331037
41	0.4486131505
42	0.4467624337
43	0.4445570592
44	0.4425421143
45	0.4396071952
46	0.437712228
47	0.435199585
48	0.4329189628
49	0.4312444196
50	0.4291929408
51	0.4275768171
52	0.4259778268
53	0.4237850952
54	0.4220464216
55	0.4199686105
56	0.4178710502
57	0.4162290737
58	0.4145234898
59	0.4128998239
60	0.4116937256
61	0.4098991176
62	0.408526001
63	0.4072084699
64	0.4057665144
65	0.4046546282
66	0.403324149
67	0.4021875
68	0.4006502424
69	0.3997286551
70	0.3984159633
71	0.3972555106
72	0.3961513846
73	0.3947059413
74	0.3931576974
75	0.3921419852
76	0.3910529436
77	0.3898416574
78	0.3890188599
79	0.3883232771
80	0.386688058
81	0.385224435
82	0.3843064662
83	0.3832118879
84	0.3823357282
85	0.3816267177
86	0.3801749965
87	0.3795654733
88	0.3788243757
89	0.3780872018
90	0.3773474557
91	0.3765295846
92	0.3756387765
93	0.3746675328
94	0.3735094343
95	0.372597787
96	0.3718178885
97	0.3704164342
98	0.3695311628
99	0.3687325614
100	0.367760097
101	0.3669495937
102	0.3660358538
103	0.3652133833
104	0.3642915126
105	0.3632947649
106	0.362568185
107	0.3617122105
108	0.3609288679
109	0.3602531869
110	0.3594523403
111	0.3586038208
112	0.3579452079
113	0.3573578317
114	0.3565883745
115	0.355927015
116	0.3552484131
117	0.3545497131
118	0.3535651507
119	0.3528922163
120	0.3522280666
121	0.3514954703
122	0.3507968794
123	0.3503971645
124	0.349750497
125	0.3493300084
126	0.3485500227
127	0.347857666
128	0.3470046561
129	0.3463791548
130	0.345793239
131	0.3449166434
132	0.3443830654
133	0.3438549805
134	0.3431010655
135	0.3425901576
136	0.3418601554
137	0.3413752093
138	0.3407846287
139	0.340327955
140	0.3394782802
141	0.3389576939
142	0.3385194179
143	0.3379276167
144	0.3370706177
145	0.3366346741
146	0.3360202026
147	0.3356059919
148	0.3349197606
149	0.3342905971
150	0.3337101964
151	0.3332770211
152	0.3328543091
153	0.3324223982
154	0.3319818333
155	0.3315897914
156	0.3308761597
157	0.330284402
158	0.3297772653
159	0.3292202759
160	0.3288213675
161	0.3280513
162	0.3276174055
163	0.3269113595
164	0.3262429592
165	0.3256375122
166	0.3251593454
167	0.3246680559
168	0.3242165702
169	0.3239979335
170	0.3234416199
171	0.3227027021
172	0.3219773429
173	0.3216822597
174	0.3210646493
175	0.320607169
176	0.3199609375
177	0.3194997733
178	0.3189585223
179	0.318537772
180	0.3178486633
181	0.317054269
182	0.3167017909
183	0.3160373797
184	0.3155262102
185	0.3150116403
186	0.3145614188
187	0.3142281233
188	0.3139251491
189	0.3136496408
190	0.313276062
191	0.3129008048
192	0.312573482
193	0.3122704642
194	0.311955828
195	0.3116215733
196	0.3113507952
197	0.3109529332
198	0.3105409459
199	0.3102200317
200	0.3098506383
201	0.3094066511
202	0.3089048985
203	0.3082812718
204	0.3075974819
205	0.3074244036
206	0.3069256592
207	0.3066730608
208	0.3063005066
209	0.3057590594
210	0.3053294155
211	0.3049339948
212	0.3043473162
213	0.3039127459
214	0.3034085519
215	0.302749721
216	0.3019716099
217	0.3012954712
218	0.3006272888
219	0.3001689366
220	0.2998827907
221	0.2996922084
222	0.2993746512
223	0.2989702279
224	0.2984457833
225	0.2978314645
226	0.2973419625
227	0.2969065421
228	0.2966364615
229	0.2962079511
230	0.2957424927
231	0.2954498727
232	0.2949802944
233	0.2947624425
234	0.2944614083
235	0.2937780108
236	0.2930505807
237	0.2925881304
238	0.2922625296
239	0.2918910653
240	0.2913388715
241	0.2910553632
242	0.2906030273
243	0.2901077271
244	0.2898857771
245	0.2892902483
246	0.2887519836
247	0.2884034947
248	0.2878212193
249	0.2872324044
250	0.2868364825
251	0.2862578692
252	0.2856964547
253	0.2852432687
254	0.2848975481
255	0.2844805472
256	0.2842094203
257	0.2836735971
258	0.2831230164
259	0.2827875628
260	0.2824913025
261	0.2821922084
262	0.2820641436
263	0.2815608651
264	0.2811688232
265	0.2809494673
266	0.2807065691
267	0.2802777536
268	0.2800714329
269	0.2796233913
270	0.27942773
271	0.2790555899
272	0.2787853568
273	0.2783832005
274	0.277855508
275	0.2774540057
276	0.2769885036
277	0.276623448
