iter	Passed	Remaining
0	1	1702
1	3	1628
2	4	1583
3	6	1576
4	7	1560
5	9	1543
6	10	1535
7	12	1525
8	13	1525
9	15	1485
10	16	1484
11	18	1502
12	19	1495
13	21	1496
14	22	1496
15	24	1496
16	25	1495
17	27	1491
18	28	1494
19	30	1493
20	32	1514
21	34	1514
22	35	1512
23	37	1511
24	38	1508
25	40	1505
26	41	1501
27	43	1499
28	44	1498
29	46	1496
30	47	1494
31	49	1492
32	50	1489
33	52	1485
34	53	1483
35	55	1483
36	56	1480
37	58	1478
38	60	1478
39	61	1478
40	63	1478
41	64	1474
42	66	1471
43	67	1471
44	69	1483
45	71	1481
46	72	1479
47	74	1477
48	76	1491
49	78	1492
50	80	1495
51	82	1495
52	83	1496
53	85	1497
54	87	1501
55	89	1508
56	91	1506
57	92	1505
58	94	1503
59	96	1504
60	97	1503
61	99	1501
62	100	1498
63	102	1495
64	103	1492
65	105	1489
66	106	1487
67	108	1486
68	109	1483
69	111	1483
70	113	1481
71	114	1480
72	116	1477
73	117	1475
74	119	1473
75	121	1471
76	122	1472
77	124	1468
78	125	1465
79	127	1464
80	128	1462
81	130	1460
82	131	1457
83	133	1456
84	135	1453
85	136	1452
86	138	1454
87	140	1458
88	142	1458
89	144	1456
90	145	1455
91	147	1452
92	148	1450
93	150	1448
94	151	1447
95	153	1445
96	154	1442
97	156	1440
98	158	1438
99	159	1436
100	161	1433
101	162	1432
102	164	1430
103	165	1429
104	167	1427
105	169	1425
106	170	1423
107	172	1421
108	173	1418
109	175	1417
110	176	1414
111	178	1412
112	179	1409
113	181	1407
114	182	1405
115	184	1403
116	186	1404
117	187	1404
118	189	1402
119	190	1400
120	192	1398
121	194	1398
122	195	1397
123	197	1395
124	199	1393
125	200	1391
126	202	1390
127	203	1388
128	205	1387
129	207	1385
130	208	1383
131	210	1382
132	211	1380
133	213	1378
134	214	1376
135	216	1374
136	218	1374
137	219	1372
138	221	1370
139	223	1370
140	224	1368
141	226	1366
142	227	1365
143	229	1363
144	230	1361
145	232	1359
146	233	1357
147	235	1355
148	236	1353
149	238	1351
150	239	1349
151	241	1347
152	243	1345
153	244	1343
154	246	1342
155	247	1341
156	249	1339
157	251	1337
158	252	1335
159	254	1334
160	255	1332
161	257	1330
162	258	1328
163	260	1326
164	261	1324
165	263	1324
166	265	1323
167	266	1321
168	268	1319
169	269	1317
170	271	1315
171	273	1314
172	274	1312
173	276	1311
174	277	1309
175	279	1308
176	281	1306
177	282	1305
178	284	1303
179	285	1301
180	287	1298
181	288	1296
182	289	1294
183	291	1291
184	292	1289
185	294	1287
186	295	1286
187	297	1284
188	298	1282
189	300	1280
190	301	1278
191	303	1277
192	305	1275
193	306	1273
194	308	1271
195	309	1269
196	310	1267
197	312	1266
198	314	1264
199	315	1261
200	316	1259
201	318	1256
202	319	1255
203	321	1253
204	322	1251
205	324	1250
206	325	1248
207	327	1247
208	329	1245
209	330	1243
210	332	1241
211	333	1240
212	335	1238
213	336	1236
214	337	1233
215	339	1231
216	340	1229
217	342	1227
218	343	1226
219	345	1224
220	346	1222
221	348	1221
222	349	1219
223	351	1218
224	353	1216
225	354	1214
226	356	1212
227	357	1211
228	359	1209
229	360	1208
230	362	1206
231	363	1204
232	365	1203
233	367	1201
234	368	1199
235	370	1198
236	371	1196
237	373	1195
238	374	1193
239	376	1191
240	377	1189
241	379	1187
242	380	1186
243	382	1184
244	383	1183
245	385	1182
246	387	1180
247	388	1179
248	390	1177
249	392	1176
250	393	1175
251	395	1173
252	396	1172
253	398	1170
254	400	1170
255	402	1169
256	403	1167
257	405	1166
258	407	1164
259	408	1163
260	410	1161
261	411	1159
262	413	1158
263	414	1156
264	416	1155
265	418	1153
266	419	1152
267	421	1150
268	422	1149
269	424	1147
270	426	1146
271	427	1144
272	429	1143
273	430	1141
274	432	1141
275	434	1139
276	436	1138
277	437	1137
278	439	1135
279	440	1133
280	442	1132
281	443	1130
282	445	1128
283	447	1127
284	448	1125
285	450	1124
286	451	1122
287	453	1121
288	455	1119
289	456	1118
290	458	1116
291	459	1114
292	461	1113
293	462	1111
294	464	1109
295	466	1108
296	467	1106
297	469	1105
298	470	1104
299	472	1102
300	474	1101
301	475	1099
302	477	1098
303	479	1096
304	480	1095
305	482	1093
306	483	1092
307	485	1090
308	487	1089
309	488	1087
310	490	1086
311	491	1084
312	493	1083
313	495	1081
314	496	1079
315	498	1077
316	499	1076
317	501	1074
318	502	1073
319	504	1071
320	505	1069
321	507	1068
322	508	1066
323	510	1064
324	511	1062
325	513	1061
326	514	1059
327	516	1057
328	517	1056
329	519	1054
330	520	1052
331	522	1051
332	524	1049
333	525	1048
334	527	1047
335	529	1045
336	530	1044
337	532	1042
338	533	1040
339	535	1038
340	536	1037
341	538	1035
342	539	1034
343	541	1032
344	543	1030
345	544	1029
346	546	1027
347	547	1026
348	549	1024
349	550	1023
350	552	1021
351	553	1019
352	555	1018
353	557	1016
354	558	1014
355	560	1013
356	561	1011
357	563	1010
358	565	1009
359	566	1007
360	568	1006
361	569	1004
362	571	1002
363	573	1001
364	574	999
365	576	998
366	577	996
367	579	994
368	580	993
369	582	991
370	583	989
371	584	987
372	586	985
373	587	983
374	589	982
375	590	980
376	592	978
377	593	976
378	594	974
379	596	973
380	597	971
381	599	969
382	600	967
383	601	965
384	603	963
385	604	961
386	606	960
387	608	959
388	609	957
389	611	956
390	612	954
391	614	952
392	615	951
393	617	949
394	619	948
395	620	946
396	621	944
397	623	942
398	624	940
399	626	939
400	627	937
401	629	936
402	631	935
403	633	934
404	635	932
405	636	931
406	638	930
407	640	929
408	642	928
409	644	927
410	646	926
411	648	925
412	651	925
413	655	927
414	657	926
415	659	925
416	662	926
417	665	926
418	669	927
419	671	926
420	672	925
421	674	924
422	676	922
423	678	921
424	680	920
425	682	919
426	684	919
427	686	917
428	688	916
429	690	915
430	692	914
431	694	913
432	696	912
433	698	911
434	700	909
435	702	908
436	704	907
437	706	906
438	708	904
439	710	903
440	711	902
441	713	901
442	715	899
443	717	898
444	719	897
445	721	896
446	723	895
447	726	894
448	728	893
449	730	892
450	732	891
451	734	890
452	735	888
453	737	886
454	739	885
455	741	884
456	743	882
457	744	881
458	746	880
459	748	878
460	750	877
461	752	876
462	754	874
463	755	872
464	757	871
465	758	869
466	760	867
467	762	866
468	763	864
469	765	863
470	767	861
471	768	859
472	769	857
473	771	855
474	772	854
475	774	852
476	776	850
477	777	848
478	778	847
479	780	845
480	782	843
481	783	841
482	784	839
483	786	838
484	788	837
485	789	835
486	791	833
487	793	832
488	794	830
489	796	828
490	797	826
491	799	825
492	800	823
493	802	821
494	803	820
495	805	818
496	807	816
497	808	815
498	810	813
499	811	811
500	813	809
501	814	808
502	816	806
503	817	804
504	819	803
505	820	801
506	822	800
507	824	798
508	825	796
509	827	794
510	828	793
511	830	791
512	831	789
513	833	788
514	835	786
515	836	784
516	838	783
517	839	781
518	841	779
519	842	778
520	844	776
521	846	774
522	847	773
523	849	771
524	850	769
525	852	768
526	853	766
527	855	764
528	857	763
529	858	761
530	860	759
531	861	758
532	863	756
533	864	754
534	866	753
535	867	751
536	869	749
537	870	747
538	872	746
539	874	744
540	877	744
541	882	746
542	884	744
543	886	742
544	887	741
545	889	739
546	890	737
547	892	736
548	894	734
549	895	732
550	897	731
551	898	729
552	900	727
553	901	725
554	903	724
555	904	722
556	906	720
557	907	719
558	909	717
559	911	715
560	912	714
561	914	712
562	915	710
563	917	709
564	918	707
565	920	705
566	922	704
567	923	702
568	925	700
569	926	699
570	928	697
571	929	695
572	931	694
573	932	692
574	934	690
575	935	688
576	937	687
577	940	686
578	942	685
579	943	683
580	945	681
581	946	680
582	948	678
583	950	676
584	951	675
585	953	673
586	955	672
587	956	670
588	958	668
589	959	666
590	960	664
591	962	663
592	964	661
593	965	660
594	967	658
595	969	656
596	970	655
597	972	653
598	973	651
599	975	650
600	977	648
601	978	647
602	980	645
603	982	644
604	984	642
605	985	641
606	987	639
607	989	637
608	990	635
609	992	634
610	994	633
611	996	631
612	998	630
613	999	628
614	1001	626
